block,target_word,target_pitch,cue_type,cue_file,target_file,correct_resp,ear,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,iti,trial.started,fixation_cross.started,key_resp.started,orienting_cue.started,orienting_cue.stopped,target.started,target.stopped,key_resp.stopped,trial.stopped,trials.key_resp.keys,fixation_cross.stopped,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,expStart,
1,day,LP,alerting,audio_files/alerting_cue.wav,audio_files/day_LP_left.wav,down,left,0,0,0,None,,,0,0,0,16,0.03238670000064303,,[0.64226109],0.029286000000865897,0.03238670000064303,0.6486065000008239,0.6487846666680223,0.7486829000008584,1.1492053666681992,2.23306440000124,2.349665100000493,2.834298100000524,None,,,,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
1,high,HP,orienting,audio_files/orienting_right.wav,audio_files/high_HP_right.wav,up,right,1,1,0,None,,,0,1,1,15,2.855815700000676,,[1.17608261],2.8534887000005256,2.855815700000676,4.018275300000823,4.018042966667296,4.118161600001258,4.51853776666782,5.152266200000668,5.71952820000115,6.05351470000096,None,6.084035400001085,,,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
1,day,LP,orienting,audio_files/orienting_left.wav,audio_files/day_LP_left.wav,down,left,2,2,0,None,,,0,2,2,18,6.084035400001085,,[1.56644736],6.081445900001199,6.084035400001085,7.620822300001237,7.620762766666545,7.721074200000658,8.121498866667269,9.205512700000327,9.344846400001188,9.30596130000049,None,9.28900220000105,,,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
1,day,LP,orienting,audio_files/orienting_right.wav,audio_files/day_LP_right.wav,down,right,3,3,0,None,,,0,3,3,19,9.344846400001188,,[1.59641049],9.34212320000006,9.344846400001188,10.907029900001362,10.906911266667764,11.007238500000312,11.407556666667249,12.491859700001442,12.609539400000358,12.592227600000115,None,12.558285700000852,,,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
1,high,LP,alerting,audio_files/alerting_cue.wav,audio_files/high_LP_right.wav,down,right,4,4,0,None,,,0,4,4,9,12.609539400000358,,[0.49337069],12.607386000001497,12.609539400000358,13.092107800001031,13.092090866666938,13.198616800000309,13.592615466667,14.67670680000083,14.793731000001571,15.277744700000767,None,,,,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
1,low,HP,orienting,audio_files/orienting_right.wav,audio_files/low_HP_right.wav,up,right,5,5,0,up,1.3999703999998019,None,0,5,5,7,15.302852000000712,,[0.90358495],15.299586900000577,15.302852000000712,16.194755100001203,16.194743366666685,16.29762280000068,16.69514996666682,17.29566420000083,,17.596713500000988,up,,1.3999703999998019,None,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
1,day,LP,alerting,audio_files/alerting_cue.wav,audio_files/day_LP_right.wav,down,right,6,6,0,down,1.4914719999997033,None,0,6,6,17,17.62440770000103,,[1.21812941],17.62168500000007,17.62440770000103,18.830010200001198,18.83014916666822,18.93041980000089,19.330508766666995,,,20.33256000000074,down,,1.4914719999997033,None,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
1,day,HP,orienting,audio_files/orienting_right.wav,audio_files/day_HP_right.wav,up,right,7,7,0,up,1.1937183999998524,None,0,7,7,23,20.388711200001126,,[1.48829109],20.385870000000068,20.388711200001126,21.832680999999866,21.83273776666671,21.938196099999914,22.333120966666925,22.967119900000398,,23.0344513,up,,1.1937183999998524,None,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
1,low,HP,orienting,audio_files/orienting_left.wav,audio_files/low_HP_left.wav,up,left,8,8,0,None,,,0,8,8,6,23.068561500000214,,[0.57144244],23.06530720000046,23.068561500000214,23.617480599999908,23.617505966667764,23.717920200000663,24.11800986666664,24.718609400000787,25.318845600000714,25.80306290000044,None,,,,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
1,high,LP,orienting,audio_files/orienting_left.wav,audio_files/high_LP_left.wav,down,left,9,9,0,None,,,0,9,9,10,25.8444784000003,,[0.98684675],25.842217100000198,25.8444784000003,26.803614400001607,26.80350816666784,26.909605300001203,27.303748366666937,28.388007800000196,28.504834400000618,28.988807499999893,None,,,,000136,001,2025-10-28_11h30.20.304,AuditoryANT,2024.2.4,2025-10-28 11h30.22.749067 -0700,
