target_word,target_pitch,correct_resp,cue_type,ear,cue_file,target_file,thisN,thisTrialN,thisRepN,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,iti,trial.started,fixation_cross.started,key_resp.started,orienting_cue.started,orienting_cue.stopped,target.started,target.stopped,key_resp.stopped,fixation_cross.stopped,trial.stopped,trials.key_resp.keys,participant,session,date,expName,psychopyVersion,expStart,
high,LP,down,orienting,left,audio_files/orienting_left.wav,audio_files/high_LP_left.wav,0,0,0,None,0,0,0,16,0.026769699998112628,,[1.49865383],0.023910099997010548,0.026769699998112628,1.5143816999989212,1.514477766664883,1.6143515999974625,1.9979572666636765,3.0821904000003997,3.215627300000051,3.2321214000003238,3.215849199998047,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
high,LP,down,alerting,right,audio_files/alerting_cue.wav,audio_files/high_LP_right.wav,1,1,0,None,0,1,1,15,3.2321214000003238,,[0.6324292],3.2261416999972425,3.2321214000003238,3.8496243999979924,3.8495316666669774,3.949732799999765,4.3497838666665,5.434096099997987,5.550935799998115,,6.035537100000511,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
high,HP,up,none,left,audio_files/alerting_cue.wav,audio_files/high_HP_left.wav,2,2,0,None,0,2,2,18,6.055796000000555,,[1.18759795],6.053658099997847,6.055796000000555,7.235596099999384,7.2356440666665245,7.3357839999989665,7.736160966666163,8.370014599997376,8.937014199997066,9.272987299998931,9.254504000000452,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
high,HP,up,none,right,audio_files/alerting_cue.wav,audio_files/high_HP_right.wav,3,3,0,None,0,3,3,19,9.272987299998931,,[1.57353895],9.27074150000044,9.272987299998931,10.838552099998196,10.83868936666501,10.944657000000007,11.339134466663625,11.972921799999312,12.544474599999376,12.47324689999732,12.52378630000021,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
low,HP,up,alerting,right,audio_files/alerting_cue.wav,audio_files/low_HP_right.wav,4,4,0,None,0,4,4,9,12.544474599999376,,[0.49675454],12.54208259999723,12.544474599999376,13.023765499998262,13.023853366663632,13.124209300000075,13.524335366666735,14.124777900000481,14.72547940000004,,15.209339699998964,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
low,HP,up,none,right,audio_files/alerting_cue.wav,audio_files/low_HP_right.wav,5,5,0,None,0,5,5,7,15.230041599999822,,[0.70731284],15.22721829999864,15.230041599999822,15.926263699999254,15.926308866666902,16.032219999997324,16.426660366665843,17.02709440000035,17.627680699999473,,18.111924299999373,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
high,LP,down,orienting,right,audio_files/orienting_right.wav,audio_files/high_LP_right.wav,6,6,0,None,0,6,6,17,18.140473999999813,,[0.54345488],18.13833220000015,18.140473999999813,18.661924799998815,18.6618298666656,18.764948099997127,19.162076866665544,20.246459300000424,20.363223399999697,,20.846854699997493,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
high,HP,up,orienting,right,audio_files/orienting_right.wav,audio_files/high_HP_right.wav,7,7,0,None,0,7,7,23,20.863529700000072,,[0.69307266],20.859163599998283,20.863529700000072,21.547636299997976,21.547464066665512,21.647443800000474,22.04802306666558,22.68171649999931,23.248821699999098,,23.73310909999782,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
low,HP,up,none,left,audio_files/alerting_cue.wav,audio_files/low_HP_left.wav,8,8,0,None,0,8,8,6,23.755591599998297,,[1.26298539],23.752719699998124,23.755591599998297,25.000127699997392,25.000474066666598,25.100220500000432,25.50080206666486,26.10136529999727,26.70163440000033,26.97459059999892,26.952327899998636,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
low,HP,up,orienting,left,audio_files/orienting_left.wav,audio_files/low_HP_left.wav,9,9,0,None,0,9,9,10,26.97459059999892,,[1.21876132],26.971292499998526,26.97459059999892,28.186431099999027,28.18640326666379,28.286945599997125,28.6867585666662,29.28722139999809,29.887686199999735,30.206000799997128,30.171738099998038,None,007010,001,2025-10-28_12h17.24.902,AuditoryANT,2024.2.4,2025-10-28 12h17.26.867051 -0700,
low,LP,down,alerting,right,audio_files/alerting_cue.wav,audio_files/low_LP_right.wav,10,10,0,,0,10,10,3,30.206000799997128,,[0.96353054],30.203133699997124,30.206000799997128,31.138825899997755,31.138915166666507,31.238914899997326,31.639209166664173,,,,,,,,,,,,
