thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,sound_stim.started,fixation2.started,sound_stim.stopped,trial.stopped,trial,stim,soundFile,corrAns,respKey,rt,correct,trials.key_resp.keys,trials.key_resp.corr,key_resp.stopped,fixation2.stopped,feedback.started,text.started,text.stopped,feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,0,0,0,0,0.016936416001044563,,0.013715083001443418,0.016936416001044563,1.0215711250002641,1.0215711250002641,1.0062170829987735,1.0215711250002641,1.1405521249998856,2.506883250000101,0,B,audio/B.wav,none,none,,1,,,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
0,0,0,None,1,0,0,0,0,,,,,,,,,,,,,,,,,,None,1,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
1,0,1,,,1,0,1,0,2.5226438750014495,,2.5079455410013907,2.5226438750014495,3.5400046660015505,3.504834125000343,1.0066397079990566,3.504834125000343,1.139612249999118,4.990515333000076,1,B,audio/B.wav,none,none,,1,,,5.004884125000899,5.004884125000899,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
1,0,1,None,1,1,0,1,0,,,,,,,,,,,,,,,,,,None,1,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
2,0,2,,,2,0,2,0,5.004884125000899,,4.991520250001486,5.004884125000899,6.004761000000144,6.004761000000144,1.0065961250002147,6.004761000000144,1.1325929579998046,7.4922789160009415,2,B,audio/B.wav,space,none,,0,,,7.5044900410011905,7.5044900410011905,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
2,0,2,None,0,2,0,2,0,,,,,,,,,,,,,,,,,,None,0,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
3,0,3,,,3,0,3,0,7.5044900410011905,,7.4928249580007105,7.5044900410011905,8.521508333000384,8.521508333000384,1.0060452500001702,8.521508333000384,1.1402229169998463,10.011442208000517,3,E,audio/E.wav,none,none,,1,,,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
3,0,3,None,1,3,0,3,0,,,,,,,,,,,,,,,,,,None,1,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
4,0,4,,,4,0,4,0,10.015449208000064,,10.012448541001504,10.015449208000064,11.021447750001244,10.998227833000783,0.9998974999998609,10.998227833000783,1.1229073329996027,12.490395458000421,4,C,audio/C.wav,none,none,,1,,,12.504841333000513,12.504841333000513,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
4,0,4,None,1,4,0,4,0,,,,,,,,,,,,,,,,,,None,1,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
5,0,5,,,5,0,5,0,12.504841333000513,,12.491449458000716,12.504841333000513,13.504798375000973,13.504798375000973,1.0064875419993768,13.504798375000973,1.14086849999876,14.990417583001545,5,A,audio/A.wav,none,none,,1,,,15.00480304100165,15.00480304100165,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
5,0,5,None,1,5,0,5,0,,,,,,,,,,,,,,,,,,None,1,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
6,0,6,,,6,0,6,0,15.00480304100165,,14.991479041000275,15.00480304100165,16.005818916000862,16.005818916000862,1.010913416999756,16.005818916000862,1.1416253329989559,17.506552500000907,6,C,audio/C.wav,space,none,,0,,,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
6,0,6,None,0,6,0,6,0,,,,,,,,,,,,,,,,,,None,0,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
7,0,7,,,7,0,7,0,17.52138695800022,,17.507595708000736,17.52138695800022,18.522925166000277,18.50594833300056,1.0076646249999612,18.50594833300056,1.1415927079997346,20.00651316600124,7,C,audio/C.wav,none,none,,1,,,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
7,0,7,None,1,7,0,7,0,,,,,,,,,,,,,,,,,,None,1,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
8,0,8,,,8,0,8,0,20.021176625001317,,20.007573333001346,20.021176625001317,21.02140883300126,21.0047162080009,1.0082123749998573,21.0047162080009,1.14299737500005,22.490250125001694,8,B,audio/B.wav,none,none,,1,,,22.504758916000355,22.504758916000355,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
8,0,8,None,1,8,0,8,0,,,,,,,,,,,,,,,,,,None,1,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
9,0,9,,,9,0,9,0,22.504758916000355,,22.491286666001542,22.504758916000355,23.505898625000555,23.505898625000555,1.0074317500002508,23.505898625000555,1.141083249998701,24.991538457999923,9,C,audio/C.wav,space,none,,0,,,25.00567929099998,25.00567929099998,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
9,0,9,None,0,9,0,9,0,,,,,,,,,,,,,,,,,,None,0,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
10,0,10,,,10,0,10,0,25.00567929099998,,24.99258175000068,25.00567929099998,26.00472045800052,26.00472045800052,1.0087136249985633,26.00472045800052,1.1397578329997486,27.490297000000282,10,B,audio/B.wav,space,none,,0,,,27.505261666001388,27.505261666001388,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
10,0,10,None,0,10,0,10,0,,,,,,,,,,,,,,,,,,None,0,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
11,0,11,,,11,0,11,0,27.505261666001388,,27.49134425000011,27.505261666001388,28.50473879099991,28.50473879099991,1.0065008330002456,28.50473879099991,1.1393709169988142,29.99301479099995,11,A,audio/A.wav,none,none,,1,,,29.99819912500061,29.99819912500061,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
11,0,11,None,1,11,0,11,0,,,,,,,,,,,,,,,,,,None,1,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
12,0,12,,,12,0,12,0,29.99819912500061,,29.994093582999994,29.99819912500061,31.00632087500162,31.00632087500162,1.0081187079995289,31.00632087500162,1.1587041249986214,32.50815833300112,12,E,audio/E.wav,none,none,,1,,,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
12,0,12,None,1,12,0,12,0,,,,,,,,,,,,,,,,,,None,1,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
13,0,13,,,13,0,13,0,32.521385875001215,,32.50917608300006,32.521385875001215,33.521454791,33.505513333000636,1.0090385000003153,33.505513333000636,1.1569553749995976,34.990217125001436,13,A,audio/A.wav,space,none,,0,,,35.00468720800018,35.00468720800018,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
13,0,13,None,0,13,0,13,0,,,,,,,,,,,,,,,,,,None,0,,,,,,,zebra,001,2025-07-25_17h25.06.251,2back_diagram,2024.2.4,None,2025-07-25 17h25.14.844076 -0700,
